表格ID：Custom_EstimateBirth
標題：出生人數
更新日期：2025.06.17
下載日期：2025.12.24 11:51
查詢年份：1970~2070
資料來源：國家發展委員會
中華民國人口推估
來源網址：https://pop-proj.ndc.gov.tw/Custom_Detail_Statistics_Search.aspx?n=41&_Query=92536b15-91ab-470f-919c-8b983f6baaa6

,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
推估情境,性別,統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人)
中推估,男性,-,-,-,-,-,-,-,-,-,-,213205,213948,209457,198240,192034,178336,160226,163331,177687,164147,176029,168865,168488,169486,168444,171118,169484,170047,141462,148042,159726,135596,129537,118984,113639,107378,106936,106898,103937,99492,87213,101943,118848,103120,108817,111041,108133,100477,93876,92237,85704,79513,72097,70227,69947,67309,66153,64978,63416,61948,60726,59558,58531,57523,56664,55798,54912,54113,53394,52674,51670,50719,50127,49574,49047,48613,48121,47321,46400,45524,44607,43627,42300,40960,39759,38540,37332,36161,35156,34218,33316,32497,31778,31194,30629,30088,29601,29150,28741,28350,27976
中推估,女性,-,-,-,-,-,-,-,-,-,-,200676,200121,195806,185199,178974,167872,149004,150693,164344,151152,159589,153067,153144,156127,154494,158463,156061,155955,129988,135619,145586,124758,117993,108086,102780,98476,97523,97516,94796,91818,79673,94684,110633,95993,101566,102557,100307,93367,87725,85530,79545,74307,66889,65344,64909,62588,61532,60456,59022,57673,56553,55481,54540,53615,52828,52034,51220,50487,49827,49165,48239,47361,46818,46309,45824,45423,44968,44223,43364,42546,41689,40773,39533,38280,37158,36019,34889,33796,32856,31980,31137,30371,29699,29153,28625,28119,27664,27243,26861,26496,26146


"● 1971年（含）以前資料不包含金門縣及連江縣。"
"● 2025年（含）以後為推估值。
